echotime,cbox_0a_coil1_c1,cbox_0a_coil1_c1c2serial,cbox_0a_coil1_c2,cbox_0a_coil1_c3,cbox_0a_coil1_transformer,cbox_0a_coil2_c1,cbox_0a_coil2_c1c2serial,cbox_0a_coil2_c2,cbox_0a_coil2_c3,cbox_0a_coil2_transformer,cbox_0a_diplexer,cbox_0a_fg_freq,cbox_0a_power_divider,cbox_0a_reg_amp,cbox_0b_coil1_c1,cbox_0b_coil1_c1c2serial,cbox_0b_coil1_c2,cbox_0b_coil1_c3,cbox_0b_coil1_transformer,cbox_0b_coil2_c1,cbox_0b_coil2_c1c2serial,cbox_0b_coil2_c2,cbox_0b_coil2_c3,cbox_0b_coil2_transformer,cbox_0b_diplexer,cbox_0b_fg_freq,cbox_0b_power_divider,cbox_0b_reg_amp,cbox_1a_coil1_c1,cbox_1a_coil1_c1c2serial,cbox_1a_coil1_c2,cbox_1a_coil1_c3,cbox_1a_coil1_transformer,cbox_1a_coil2_c1,cbox_1a_coil2_c1c2serial,cbox_1a_coil2_c2,cbox_1a_coil2_c3,cbox_1a_coil2_transformer,cbox_1a_diplexer,cbox_1a_fg_freq,cbox_1a_power_divider,cbox_1a_reg_amp,gf1,gf10,gf2,gf4,gf5,gf6,gf7,gf8,gf9,hrf_0a,hrf_0b,hrf_1a,hsf_0a,hsf_0b,hsf_1,nse0,nse1,sf_0a,sf_0b,sf_1
5.10E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35542,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.71692,0,0.82,0.82,0.001
6.89E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,35732,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.69292,0,0.82,0.82,0.001
9.71E-03,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,36032,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.65291,0,0.82,0.82,0.001
1.22E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,36301,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.61394,0,0.82,0.82,0.001
1.50E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,36598,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.57895,0,0.82,0.82,0.001
2.04E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,37164,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.49895,0,0.82,0.82,0.001
2.50E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,37654,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.43692,0,0.82,0.82,0.001
2.96E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,38144,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.36694,0,0.82,0.82,0.001
3.42E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,38634,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.31091,0,0.82,0.82,0.001
3.88E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,39125,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.23996,0,0.82,0.82,0.001
4.50E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,39781,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.723,0.8,0,0.8,0.8,0.001,1.15493,0,0.82,0.82,0.001
5.12E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,26,0,31,0,0,0,0,0,0,0,0,40437,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.776,0.877,0,0.8,0.8,0.001,1.06493,0,0.82,0.82,0.001
5.74E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,29,0,0,0,0,0,0,0,0,0,0,41093.5,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.772,0.897,0,0.8,0.8,0.001,0.97393,0,0.82,0.82,0.001
6.35E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,23,0,0,0,0,0,0,0,0,0,0,41750,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.775,0.928,0,0.8,0.8,0.001,0.89094,0,0.82,0.82,0.001
7.29E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,21,0,0,0,0,0,0,0,0,0,0,42750,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.774,0.94,0,0.8,0.8,0.001,0.74893,0,0.82,0.82,0.001
8.00E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,20,0,0,0,0,0,0,0,0,0,0,43500,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.772,0.98,0,0.8,0.8,0.001,0.65294,0,0.82,0.82,0.001
8.71E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,20,0,0,0,0,0,0,0,0,0,0,44250,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.776,1,0,0.8,0.8,0.001,0.54992,0,0.82,0.82,0.001
9.41E-02,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,19,0,0,0,0,0,0,0,0,0,0,45000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.772,1,0,0.8,0.8,0.001,0.45293,0,0.82,0.82,0.001
1.00E-01,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,18,0,0,0,0,0,0,0,0,0,0,45625,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.774,1.02,0,0.8,0.8,0.001,0.36795,0,0.82,0.82,0.001
1.06E-01,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,18,0,0,0,0,0,0,0,0,0,0,46250,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.76,1.04,0,0.8,0.8,0.001,0.28392,0,0.82,0.82,0.001
1.11E-01,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,17,0,0,0,0,0,0,0,0,0,0,46750,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.774,1.04,0,0.8,0.8,0.001,0.21793,0,0.82,0.82,0.001
1.25E-01,32,0,0,0,0,0,0,0,0,0,0,35000,0,1.1,16,0,0,0,0,0,0,0,0,0,0,48250,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.771,1.058,0,0.8,0.8,0.001,0.02496,0,0.82,0.82,0.001
1.29E-01,32,0,0,0,0,0,0,0,0,0,0,36159.375,0,1.1,15,0,31,0,0,0,0,0,0,0,0,49875,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.824,1.15,0,0.8,0.8,0.001,0.01493,0,0.82,0.82,0.001
1.46E-01,32,0,0,0,2,0,0,0,0,0,0,40930,0,1.1,13,0,0,0,0,0,0,0,0,0,0,56451,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,0.88,1.26,0,0.8,0.8,0.001,0.01994,0,0.82,0.82,0.001
1.61E-01,28,0,0,0,0,0,0,0,0,0,0,45020,0,1.1,11,0,1,0,0,0,0,0,0,0,0,62096,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1,1.45,0,0.8,0.8,0.001,0.02893,0,0.82,0.82,0.001
1.75E-01,24,0,0,0,0,0,0,0,0,0,0,49110,0,1.1,9,0,0,0,0,0,0,0,0,0,0,67742,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1.1,1.6,0,0.8,0.8,0.001,0.03094,0,0.85,0.82,0.001
1.88E-01,23,0,0,0,0,0,0,0,0,0,0,52620,0,1.1,8,0,0,0,0,0,0,0,0,0,0,72580,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1.2,1.699,0,0.8,0.8,0.001,0.03093,0,0.82,0.82,0.001
2.05E-01,20,0,0,0,0,0,0,0,0,0,0,57530,0,1.1,7,0,8,0,0,0,0,0,0,0,0,79350,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1.32,1.81,0,0.8,0.8,0.001,0.03292,0,0.82,0.82,0.001
2.20E-01,19,0,0,0,0,0,0,0,0,0,0,61620,0,1.1,6,0,3,0,0,0,0,0,0,0,0,85000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1.44,2,0,0.8,0.8,0.001,0.03894,0,0.82,0.82,0.001
2.30E-01,18,0,0,0,0,0,0,0,0,0,0,64310,0,1.1,6,0,0,0,1,0,0,0,0,0,0,88700,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,1.5,2.15,0,0.8,0.8,0.001,0.04693,0,0.82,0.82,0.001
3.73E-01,4,0,1,0,0,0,0,0,0,0,0,104400,0,1.1,2,0,9,0,1,0,0,0,0,0,0,144000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,2.5,3.5,0,0.8,0.8,0.001,0.08995,0,0.82,0.82,0.001
5.42E-01,2,0,0,0,1,0,0,0,0,0,0,152000,0,1.1,1,0,7,0,1,0,0,0,0,0,0,209620,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,3.7,5.2,0,0.8,0.8,0.001,0.13594,0,0.82,0.82,0.001
8.18E-01,1,0,0,0,0,0,0,0,0,0,0,229000,0,1.1,26,1,18,0,1,0,0,0,0,0,0,315862,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,5.7,7.8,0,0.8,0.8,0.001,0.24494,0,0.82,0.82,0.001
1.61E+00,2,1,10,0,2,0,0,0,0,0,0,450000,0,1.1,0,0,5,0,2,0,0,0,0,0,0,621000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,11.2,15.35,0,0.8,0.8,0.001,0.513,0,0.82,0.82,0.001
1.84E+00,1,1,8,0,2,0,0,0,0,0,0,514000,0,1.1,1,1,4,0,1,0,0,0,0,0,0,709000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,300000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,12.8,17.55,0,0.8,0.8,0.001,0.77894,0,0.82,0.82,0.001
2.48E+00,2,1,4,0,2,0,0,0,0,0,0,694000,0,1.1,1,1,2,0,2,0,0,0,0,0,0,957000,0,1.1,0,0,0,0,0,0,0,0,0,0,0,30000,1,0,3,0.001,0.8,1,1,1.5,0.001,0.001,0.001,17.25,23.85,0,0.8,0.8,0.001,0.93494,0,0.82,0.82,0.001
