     LAMBDA/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,      solmain1,         fpi21,           fpi,         fpi22,   solsample_z,       solpi21,      solpi21a,     solpi22.3,       solpic1,       solpic2,        Q_coil,     solmain1s,          none,         cc1r1,       loop0yh,         cc3r1,        loop0z,     solphase1,     solphase2,   solanalyzer,      solguide,         cc1y1,         cc1y2,         cc3y1,         cc3y2,         cc1z1,         cc1z2,         cc3z1,    solphase1s,     solmain1h,    solsample1,        loop1z,        loop1y,        loop2z,        loop2y,        solaux,  solphase1ccx,  solphase1ccy,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
     Lambda/A ,    dlambda/A ,      Q/A**-1 ,     t_nom/ns ,     t_act/ns ,   countscale ,phase_deg_perA1 ,phase_deg_perA2 ,     pow01: main,     pow02: pi21,     pow03: pi  ,     pow04: pi22,          pow05,          pow06,          pow07,          pow08,          pow09,         pow10,         pow11,         pow12,         pow13,         pow16,         pow17,         pow18,         pow19,    pow20: pha1,         pow21,         pow22,         pow23,         pow24,         pow25,         pow26,         pow27,         pow28,         pow29,         pow30,         pow32,         pow33,         pow34,         pow35,         pow36,         pow37,         pow38,          dum1,          dum2,          dum3,         mophi,       mogamma,        mobeta,         mopsi,          mo_z,         moana,      mo_cc31a,      mo_cc31b,      mo_cc21a,      mo_cc21b,      mo_cc11a,      mo_cc11b,      mo_cc32a,      mo_cc32b,      mo_cc22a,      mo_cc22b,      mo_cc12a,      mo_cc12b,      selector,          J/Tm,          mode,       epoch/s
             6,       0.24492,          0.07,          0.86,     0.8600252,        9.9869,     -1591.164,             0,      2.733445,    -0.3268005,     -0.479905,    -0.5619506,      1.729533,      1.147312,     -1.475941,    -0.6549514,             0,            -0,             0,             0,             0,     0.8848512,   -0.01917985,     0.5298708,             0,    -0.6878422,             0,             9,            -5,   -0.06823858,   -0.06823858,     0.0256189,     0.0256189,     0.0923765,     0.0923765, -0.0005692009,             0,             0,      2.404659,     -7.816107,    0.06416548,      9.290448,      2.287586,             0,     -1.044124,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.0213973,             1,    1775116995 
             6,       0.24492,          0.07,           1.1,      1.100029,       9.98574,     -1591.164,             0,      3.531992,    -0.3267993,    -0.4799311,    -0.5619511,      1.732372,      1.152434,     -1.426865,    -0.6544062,             0,            -0,             0,             0,             0,      1.192038,   -0.01874583,     0.7304822,             0,    -0.6834275,             0,             9,            -5,   -0.06981329,   -0.06981329,    0.02836231,    0.02836231,     0.0899533,     0.0899533, -0.0007281367,             0,             0,      2.402914,     -7.835072,    0.08626827,      9.305636,      2.261787,             0,     -1.406605,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.02736857,             1,    1775117013 
             6,       0.24492,          0.07,           1.5,      1.500037,       9.98317,     -1591.164,             0,      4.862685,    -0.3267971,    -0.4799748,     -0.561952,      1.737107,      1.160991,     -1.344337,    -0.6534975,             0,            -0,             0,             0,             0,      1.702238,   -0.01795388,      1.101601,             0,     -0.675451,             0,             9,            -5,   -0.07249516,   -0.07249516,    0.02961573,    0.02961573,    0.08655422,    0.08655422, -0.0009930616,             0,             0,      2.400011,     -7.870105,      0.128165,      9.333726,      2.216527,             0,     -2.008641,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.03732071,             1,    1775117031 
             6,       0.24492,          0.07,             2,      2.000048,       9.97886,     -1591.164,             0,      6.525756,    -0.3267942,    -0.4800294,    -0.5619533,      1.743032,      1.171707,     -1.240443,     -0.652362,             0,            -0,             0,             0,             0,      2.351456,   -0.01689495,      1.602392,             0,    -0.6639246,             0,             9,            -5,   -0.07187732,   -0.07187732,    0.03061324,    0.03061324,    0.08804627,    0.08804627,  -0.001324252,             0,             0,      2.396357,     -7.917343,     0.1848145,      9.371631,      2.156816,             0,     -2.774718,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.04976091,             1,    1775117052 
             6,       0.24492,          0.07,           2.7,      2.700064,       9.97076,     -1591.164,             0,      8.853928,      -0.32679,    -0.4801061,    -0.5619551,      1.751348,      1.186709,     -1.094916,    -0.6507713,             0,            -0,             0,             0,             0,       3.27161,   -0.01540426,      2.307654,             0,    -0.6494733,             0,             9,            -5,   -0.07858715,   -0.07858715,    0.03657744,    0.03657744,    0.07687402,    0.07687402,  -0.001787959,             0,             0,      2.391208,     -7.983871,     0.2632732,      9.425019,      2.071412,             0,     -3.860499,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.0671772,             1,    1775117073 
             6,       0.24492,          0.07,           3.6,      3.600085,       9.95681,     -1591.164,             0,      11.84704,    -0.3267843,     -0.480205,    -0.5619575,      1.762066,      1.206022,    -0.9069601,    -0.6487258,             0,            -0,             0,             0,             0,      4.450322,   -0.01340916,      3.256941,             0,    -0.6303817,             0,             9,            -5,   -0.06735861,   -0.06735861,    0.03229167,    0.03229167,    0.06959568,    0.06959568,  -0.002384196,             0,             0,      2.384598,     -8.073368,     0.3723277,      9.496867,      1.961549,             0,     -5.251379,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,    0.08956958,             1,    1775117096 
             6,       0.24492,          0.07,           4.8,      4.800112,       9.93206,     -1591.164,             0,      15.83776,    -0.3267765,    -0.4803373,    -0.5619608,      1.776409,      1.231792,    -0.6555659,    -0.6459949,             0,            -0,             0,             0,             0,      5.998562,   -0.01067423,      4.561736,             0,     -0.609384,             0,             9,            -5,   -0.07777781,   -0.07777781,    0.03913908,    0.03913908,    0.06808774,    0.06808774,  -0.003179226,             0,             0,      2.375821,     -8.196329,     0.5185021,      9.595599,      1.807577,             0,     -7.078303,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.1194261,             1,    1775117121 
             6,       0.24492,          0.07,           6.4,      6.400151,       9.88821,     -1591.164,             0,      21.15782,    -0.3267659,    -0.4805146,    -0.5619652,      1.795625,      1.266172,    -0.3195501,    -0.6423563,             0,            -0,             0,             0,             0,       8.15738,  -0.006946797,      6.344388,             0,    -0.5767233,             0,             9,            -5,    -0.1239502,    -0.1239502,    0.05793496,    0.05793496,    0.05293456,    0.05293456,  -0.004239315,             0,             0,      2.363903,      -8.36434,       0.71539,      9.730537,      1.595411,             0,     -9.625709,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.1592348,             1,    1775117148 
             6,       0.24492,          0.07,           8.5,      8.500201,       9.81211,     -1591.164,             0,      28.14016,    -0.3267516,    -0.4807489,    -0.5619713,      1.821001,      1.311332,     0.1227307,    -0.6375796,             0,            -0,             0,             0,             0,       10.9623,  -0.001938018,      8.746841,             0,    -0.5341755,             0,             9,            -5,    -0.1455911,    -0.1455911,    0.06794237,    0.06794237,     0.0316683,     0.0316683,  -0.005630737,             0,             0,      2.348326,      -8.59069,     0.9850239,      9.912356,      1.315912,             0,     -12.93551,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.2114838,             1,    1775117179 
             6,       0.24492,          0.07,            11,      11.00026,       9.69471,     -1591.164,             0,      36.45204,    -0.3267342,    -0.4810301,    -0.5619786,      1.851441,      1.365128,     0.6505585,    -0.6318914,             0,            -0,             0,             0,             0,      14.30062,   0.004148478,      11.67232,             0,    -0.4846612,             0,             9,            -5,    -0.1773161,    -0.1773161,    0.08474076,    0.08474076,    0.01346209,    0.01346209,  -0.007287241,             0,             0,      2.329776,     -8.866263,      1.311919,      10.13373,      0.975749,             0,     -16.87473,             0,      3.830651,             0,             0,     -88.08467,      209.0002,             3,        0.1223,     -0.336708,             0,             0,      -0.40341,       0.87593,     -0.825399,     -0.626504,             0,             0,      0.471288,      0.264776,      353.6792,     0.2736849,             1,    1775117215 
